member_id,product_id
b56490558,cbe31354-4301-4b77-9ae9-ed1b64625711
b56490558,5c239f26-4515-45d0-a3eb-dee228a6ee10
b89460362,1af69f1b-9a8b-40a6-b40b-da2a21d69ad4
b89460362,0e7721a4-4da0-487c-a851-5be312ea072a
b89460362,a25cbdf1-2e41-4c15-b68f-002965921e3a
b89460362,3a18465c-7bb6-4619-9ccf-2caf5e5ae34d
b27896028,d65ca4ef-d7a7-49e5-a4df-c71d8725128e
b27896028,0e7721a4-4da0-487c-a851-5be312ea072a
b27896028,e007cddb-655b-4c1c-b89d-d2f1d769de78
b27896028,bf2eb3e5-5926-4863-aba0-53b643791bed
b96337660,6acb1146-4d4f-4c18-a042-d405478998da
b96337660,7bc892af-c72d-4a6b-8c6e-14351af98577
b48456205,eed70591-dd87-4c44-ada2-30964723b91d
b48456205,c9412fa5-b115-4ab4-b6a5-612a57003c43
b48456205,eb266bca-f892-4591-ae89-7095ae7a4b7a
b13921013,0c4dfc3b-d851-433b-aa19-d0029f0a6b09
b13921013,06001b49-a173-43c0-8d59-a25c00b95f67
b13921013,b92e24e7-7df9-404f-8abe-ce845e90a97b
b81398058,5c239f26-4515-45d0-a3eb-dee228a6ee10
b81398058,30b9653c-7f55-461c-97d3-a9c5804ff9c9
b25137092,ac487d7d-ad8e-46b2-81bf-0ca52f93f750
b25137092,b8f39d3d-e563-4301-9ac2-a3ce99aec785
b25137092,fb33a728-c6aa-4d86-9767-e291d7e71173
b41897192,a86e22c5-a043-47ec-9f75-147ebcada74e
b41897192,776ca831-f797-487a-90be-0aaf8144cb31
b41897192,7aec1655-d788-4639-b182-7f32ae45cd56
b72855747,f9b9f70c-ecbb-4b9f-9ea7-a3dfcea9dfae
b72855747,b92e24e7-7df9-404f-8abe-ce845e90a97b
b72855747,66e6d339-a658-4d0b-9fe7-de8c08ae56b7
b72855747,caf5cbec-32e2-4c23-adac-9005d8ec4189
b94551155,78785891-f52c-425d-883d-fea8fa09c3eb
b94551155,a95dc6f2-de28-4672-9213-3a931987a3e8
b74659160,64572c68-a5c2-4c88-908d-af9c755049ff
b74659160,d209b070-25cf-4550-8f6a-1969be507461
b74659160,5b900df6-0484-4a17-a4ce-53528e85f44c
b74659160,d449814d-3da0-4fe0-bf74-f5acc50599c1
b33494271,06001b49-a173-43c0-8d59-a25c00b95f67
b33494271,e573a184-99f4-4e95-8a76-0b456cfa821a
b33494271,f9b9f70c-ecbb-4b9f-9ea7-a3dfcea9dfae
b14544471,f1ccc6d1-9d04-47e3-b273-3d739a10974d
b14544471,bf2eb3e5-5926-4863-aba0-53b643791bed
