product_id,product_name,description,price,inventory,seller_id,offer_datetime,category_id,product_status
ca914556-a0db-44d7-863f-0e44d10385ce,Student handbook,Academic essential,80,1,b50809533,2023-10-02 04:19:38,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
b92e24e7-7df9-404f-8abe-ce845e90a97b,Insulated water bottle sleeve,Beverage accessory,40,1,b81795472,2023-01-15 05:50:09,ac8b8a04-702b-47d2-8103-4dd261fafcaa,launched
54cacec8-3e79-47be-8990-f4c53c98492a,Tablet,Portable digital device,8699,1,b02658750,2023-12-02 18:50:37,ac8b8a04-702b-47d2-8103-4dd261fafcaa,launched
30b9653c-7f55-461c-97d3-a9c5804ff9c9,Pizza cutter,Kitchen utensil,88,3,b93516525,2023-09-08 11:48:19,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
78785891-f52c-425d-883d-fea8fa09c3eb,Reserve set of toilet paper,Bathroom essential,128,1,b02658750,2023-07-31 09:11:15,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
1af69f1b-9a8b-40a6-b40b-da2a21d69ad4,Electric toothbrush,Oral care device,1699,1,b74101441,2023-07-16 13:00:53,241901de-7346-4dc1-b88b-1bbc6e2784d0,launched
2657c5a8-8977-4c38-8808-406d9e8f6e0e,Laptop case,Portable computer protection,200,1,b93516525,2023-05-19 02:09:36,241901de-7346-4dc1-b88b-1bbc6e2784d0,launched
700e83c1-7df2-440a-a1c8-25be39a5363b,Short-sleeved T-shirt,Casual clothing,200,2,b93516525,2023-06-16 06:21:22,80acf924-79b9-4dc5-a109-2abbad6fad4e,launched
3aa7e6fa-7b95-4aa8-a16a-910cad2da644,Phone charging cable,Electronic accessory,40,1,b69410286,2023-01-11 07:21:43,ac8b8a04-702b-47d2-8103-4dd261fafcaa,launched
d449814d-3da0-4fe0-bf74-f5acc50599c1,Earphone covers,Audio accessory,100,2,b74101441,2023-01-18 16:04:53,6d868e28-afc0-4074-9831-bdca52a808a2,launched
ac487d7d-ad8e-46b2-81bf-0ca52f93f750,Mini microwave,Compact kitchen appliance,400,1,b84865982,2023-04-10 04:56:13,6d868e28-afc0-4074-9831-bdca52a808a2,launched
9c72a145-ed86-49cf-861d-24113157a3fc,Memory card,Storage device,480,1,b50809533,2023-07-17 19:57:27,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
d2668ea7-f324-4c41-bc75-2d4f0790379e,Coffee filter paper,Coffee accessory,80,1,b81795472,2023-09-22 19:37:13,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
c9412fa5-b115-4ab4-b6a5-612a57003c43,Reading light,Portable illumination,200,1,b89766969,2023-06-12 20:26:11,80acf924-79b9-4dc5-a109-2abbad6fad4e,launched
69e58c01-2b60-43cb-a832-aaa284d870be,Coffee maker,Kitchen appliance,800,1,b50809533,2023-11-28 23:37:52,80acf924-79b9-4dc5-a109-2abbad6fad4e,launched
336d5719-dbe7-401c-abc8-244091a11926,USB flash drive,Portable data storage,400,2,b09294091,2023-09-16 12:21:42,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
16b9a513-f66c-4bdd-abc1-9044ab77471e,Sports shoes,Athletic footwear,450,1,b72176783,2023-01-16 07:45:03,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
1a640c9b-6d3e-4460-8f94-48fad0e889c6,Book light,Reading accessory,120,1,b65923036,2023-06-20 22:33:35,ac8b8a04-702b-47d2-8103-4dd261fafcaa,stop-selling
72bfaa2c-a3e0-4332-968d-df15a522b1c3,Microwave-safe utensils,Kitchenware,100,2,b02658750,2023-11-17 07:42:21,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
8f19fc06-1212-45bc-8f8e-d0c76f3c39ff,Laptop cooling pad,Cooling accessory for laptops,200,1,b68312213,2023-02-02 08:47:21,241901de-7346-4dc1-b88b-1bbc6e2784d0,launched
cb806c42-83c0-4cbd-94f3-f32f8968064d,Textbook resale service,Academic resource,100,1,b81795472,2023-07-31 15:41:45,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
3a18465c-7bb6-4619-9ccf-2caf5e5ae34d,Induction cooker,Kitchen appliance,800,1,b69410286,2023-07-05 00:13:59,ac8b8a04-702b-47d2-8103-4dd261fafcaa,launched
71abb479-36fe-41f7-a998-a941636f0d9c,Toilet paper holder,Bathroom accessory,40,1,b02658750,2023-06-13 09:00:42,80acf924-79b9-4dc5-a109-2abbad6fad4e,launched
bd69c9ec-179c-4cea-9e0c-19531ac1d9c0,Air purifier,Air cleaning device,600,1,b81795472,2023-06-06 18:40:01,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
f9b9f70c-ecbb-4b9f-9ea7-a3dfcea9dfae,Student union support T-shirt,Apparel for support,300,1,b81402685,2023-06-21 23:16:37,1c043c25-be58-4587-8bbd-bdaa8c189b3c,launched
1a58e529-3aee-4231-a5fa-8d46da3596f1,Wireless mouse,Computer accessory,600,1,b02658750,2023-02-20 13:53:13,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
b8d83250-083f-42d2-b5bb-a1bef184b034,Warm slippers,Cozy footwear,200,1,b81795472,2023-01-23 15:47:34,6d868e28-afc0-4074-9831-bdca52a808a2,launched
f3022e58-0199-4b75-9779-af76c94f88c6,Sports gloves,Athletic handwear,700,1,b09294091,2023-03-29 12:37:02,6d868e28-afc0-4074-9831-bdca52a808a2,launched
8697d14f-e892-4e8c-8b52-47f362212956,Phone stand,Device holder,80,2,b82982114,2023-06-06 00:35:15,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
06001b49-a173-43c0-8d59-a25c00b95f67,Remote-controlled drone,Recreational gadget,8600,1,b50809533,2023-11-25 14:04:58,ac8b8a04-702b-47d2-8103-4dd261fafcaa,launched
bfb0aafd-65ef-4d85-907e-6cf830d0ee89,Reusable shopping bag,Eco-friendly tote,50,1,b69410286,2023-02-18 10:18:09,6e24ceb1-01bd-4ef0-8aa7-cb14cf5a0cb4,launched
